ID,FullName,Sex,Status,SireID,SireName,DamID,DamName
CTC1043,"Denahi",,Breeder,,"",,""
CTC1044,"DM Flounder",,Breeder,,"",,""
CTC1045,"DM Ian",,Breeder,,"",,""
CTC1046,"DM Quasimodo Junior",,Breeder,CTC1047,"DM Quasimodo",CTC1105,"DM Anna"
CTC1047,"DM Quasimodo",,Deceased,,"",,""
CTC1048,"BF Patchy",,Breeder,,"",,""
CTC1049,"BF Sideburns",,Breeder,,"",,""
CTC1050,"M3 Eeyore",,Breeder,,"",,""
CTC1051,"DM Kristoff",,Breeder,,"",,""
CTC1052,"DM Sultan",,Breeder,,"",,""
CTC1053,"DM Horace",,Breeder,,"",,""
CTC1054,"Kenai",,Breeder,,"",,""
CTC1055,"DA Whimsy",,Deceased,CTC63,"DA MP2-M2",CTC64,"NOX Misu"
CTC1056,"DM Pumba",,Breeder,,"",,""
CTC1057,"DM Timon",,Breeder,,"",,""
CTC1058,"DM Raya",,Breeder,CTC1103,"SLM's Dumbo",CTC1102,"DM Perdita 2.0"
CTC1059,"DM Shanti",,Breeder,CTC1103,"SLM's Dumbo",CTC1102,"DM Perdita 2.0"
CTC1060,"DM Rama",,Breeder,,"",,""
CTC1062,"DM Helga",,Breeder,CTC517,"MM Remy",CTC510,"MM Neytiri"
CTC1064,"DM Fuzzby",,Breeder,CTC517,"MM Remy",CTC510,"MM Neytiri"
CTC1065,"DM Kitty",,Breeder,CTC517,"MM Remy",CTC510,"MM Neytiri"
CTC1070,"DM Izzy",,Breeder,,"",CTC1104,"DM Minnie"
CTC1071,"DM Rabbit",,Breeder,,"",,""
CTC1072,"M3 Isabella",,Breeder,,"",,""
CTC1073,"DM Riley",,Breeder,,"",,""
CTC1074,"Aquata",,Breeder,,"",,""
CTC1075,"Alana",,Breeder,,"",,""
CTC1076,"Ariel",,Breeder,,"",,""
CTC1077,"DM Marie",,Breeder,,"",,""
CTC1078,"DM Adella",,Breeder,,"",,""
CTC1079,"DM Babette",,Breeder,,"",,""
CTC1080,"DM Beatrice",,Breeder,,"",,""
CTC1081,"DM Daphne",,Breeder,,"",,""
CTC1082,"DM Doloris",,Breeder,,"",,""
CTC1083,"DM Ellie",,Breeder,,"",,""
CTC1084,"DM Judy",,Breeder,,"",,""
CTC1085,"Heather",,Breeder,,"",,""
CTC1086,"Stella",,Breeder,,"",,""
CTC1087,"DM Doris",,Breeder,,"",,""
CTC1088,"DM Fiona",,Breeder,,"",,""
CTC1089,"DM Felicia",,Breeder,,"",,""
CTC1090,"DM Lillian",,Breeder,,"",,""
CTC1091,"DM Poppy",,Breeder,,"",,""
CTC1092,"DM Bella",,Breeder,,"",,""
CTC1093,"DM Becca",,Breeder,,"",,""
CTC1094,"DM Gia",,Breeder,,"",,""
CTC1095,"M3 Griselda",,Breeder,,"",,""
CTC1096,"DM Eva",,Breeder,CTC521,"MF Simba",CTC516,"MM Kiara"
CTC1101,"DM Gloria",,Breeder,,"",,""
CTC1102,"DM Perdita 2.0",,Retired,,"",,""
CTC1103,"SLM's Dumbo",,Deceased,CTC703,"SLM's Onyx",CTC704,"SLM's Oozara"
CTC1104,"DM Minnie",,Retired,,"",,""
CTC1105,"DM Anna",,Pet,,"",,""
CTC1241,"Draco",,Pet,,"",,""
CTC1242,"Kiri",,Pet,,"",,""
CTC1249,"MM J15-F1",,Available,CTC349,"MM Royce",CTC119,"MM Manisha"
CTC1277,"MM N15-F1",,Available,CTC25,"MM Nolan",CTC109,"MM Habiba"
CTC19,"DA Wonder",,Breeder,CTC63,"DA MP2-M2",CTC64,"NOX Misu"
CTC2704,"DM Keeper",,Breeder,CTC506,"MM Koda",CTC1076,"Ariel"
CTC337,"MF Almond",,Breeder,CTC330,"MMM's Bucket",CTC336,"MM Burrito"
CTC346,"MM Cruella",,Breeder,CTC15,"BE Charlie",CTC101,"MM Delcia"
CTC4493,"M3 Olaf",,Breeder,,"",,""
CTC4495,"DM Allura",,Breeder,CTC4493,"M3 Olaf",CTC1072,"M3 Isabella"
CTC4496,"Adora",,Pet,CTC4493,"M3 Olaf",CTC1072,"M3 Isabella"
CTC4521,"M1",,Pet,CTC556,"MM Hans",CTC512,"MM Indie"
CTC4522,"U1",,Pet,CTC556,"MM Hans",CTC512,"MM Indie"
CTC4523,"U2",,Pet,CTC556,"MM Hans",CTC512,"MM Indie"
CTC4524,"U3",,Pet,CTC556,"MM Hans",CTC512,"MM Indie"
CTC4525,"U4",,Pet,CTC556,"MM Hans",CTC512,"MM Indie"
CTC4526,"U5",,Pet,CTC556,"MM Hans",CTC512,"MM Indie"
CTC4533,"U1",,Pet,CTC1046,"DM Quasimodo Junior",CTC4495,"DM Allura"
CTC4534,"U7",,Pet,CTC1046,"DM Quasimodo Junior",CTC4495,"DM Allura"
CTC4535,"U10",,Pet,CTC1046,"DM Quasimodo Junior",CTC4495,"DM Allura"
CTC4536,"U8",,Pet,CTC1046,"DM Quasimodo Junior",CTC4495,"DM Allura"
CTC4537,"U3",,Pet,CTC1046,"DM Quasimodo Junior",CTC4495,"DM Allura"
CTC4538,"U4",,Pet,CTC1046,"DM Quasimodo Junior",CTC4495,"DM Allura"
CTC4539,"U9",,Pet,CTC1046,"DM Quasimodo Junior",CTC4495,"DM Allura"
CTC4540,"U6",,Pet,CTC1046,"DM Quasimodo Junior",CTC4495,"DM Allura"
CTC4541,"U5",,Pet,CTC1046,"DM Quasimodo Junior",CTC4495,"DM Allura"
CTC4542,"U2",,Pet,CTC1046,"DM Quasimodo Junior",CTC4495,"DM Allura"
CTC4543,"U2",,Pet,CTC1046,"DM Quasimodo Junior",CTC1060,"DM Rama"
CTC4544,"U3",,Pet,CTC1046,"DM Quasimodo Junior",CTC1060,"DM Rama"
CTC4545,"U1",,Pet,CTC1046,"DM Quasimodo Junior",CTC1060,"DM Rama"
CTC4546,"U7",,Pet,CTC1046,"DM Quasimodo Junior",CTC1060,"DM Rama"
CTC4547,"U8",,Pet,CTC1046,"DM Quasimodo Junior",CTC1060,"DM Rama"
CTC4548,"U9",,Pet,CTC1046,"DM Quasimodo Junior",CTC1060,"DM Rama"
CTC4549,"U6",,Pet,CTC1046,"DM Quasimodo Junior",CTC1060,"DM Rama"
CTC4550,"U5",,Pet,CTC1046,"DM Quasimodo Junior",CTC1060,"DM Rama"
CTC4551,"U10",,Pet,CTC1046,"DM Quasimodo Junior",CTC1060,"DM Rama"
CTC4552,"U4",,Pet,CTC1046,"DM Quasimodo Junior",CTC1060,"DM Rama"
CTC4553,"U5",,Pet,CTC556,"MM Hans",CTC346,"MM Cruella"
CTC4554,"U7",,Pet,CTC556,"MM Hans",CTC346,"MM Cruella"
CTC4555,"U4",,Pet,CTC556,"MM Hans",CTC346,"MM Cruella"
CTC4556,"U1",,Pet,CTC556,"MM Hans",CTC346,"MM Cruella"
CTC4557,"U6",,Pet,CTC556,"MM Hans",CTC346,"MM Cruella"
CTC4558,"U3",,Pet,CTC556,"MM Hans",CTC346,"MM Cruella"
CTC4559,"U2",,Pet,CTC556,"MM Hans",CTC346,"MM Cruella"
CTC4560,"U1",,Pet,CTC1050,"M3 Eeyore",CTC1095,"M3 Griselda"
CTC4561,"U3",,Pet,CTC1050,"M3 Eeyore",CTC1095,"M3 Griselda"
CTC4562,"U2",,Pet,CTC1050,"M3 Eeyore",CTC1095,"M3 Griselda"
CTC4563,"DM Rocksy",,Breeder,CTC1047,"DM Quasimodo",CTC1104,"DM Minnie"
CTC4564,"DM Nadia",,Breeder,,"",,""
CTC4565,"DM Gretched",,Breeder,,"",,""
CTC4566,"U2",,Pet,CTC1050,"M3 Eeyore",CTC4563,"DM Rocksy"
CTC4567,"U3",,Pet,CTC1050,"M3 Eeyore",CTC4563,"DM Rocksy"
CTC4568,"U6",,Pet,CTC1050,"M3 Eeyore",CTC4563,"DM Rocksy"
CTC4569,"U4",,Pet,CTC1050,"M3 Eeyore",CTC4563,"DM Rocksy"
CTC4570,"U5",,Pet,CTC1050,"M3 Eeyore",CTC4563,"DM Rocksy"
CTC4571,"U1",,Pet,CTC1050,"M3 Eeyore",CTC4563,"DM Rocksy"
CTC4572,"U7",,Pet,CTC1050,"M3 Eeyore",CTC4563,"DM Rocksy"
CTC4573,"U9",,Pet,CTC1050,"M3 Eeyore",CTC4563,"DM Rocksy"
CTC4574,"U8",,Pet,CTC1050,"M3 Eeyore",CTC4563,"DM Rocksy"
CTC4647,"U1",,Pet,CTC1048,"BF Patchy",CTC4564,"DM Nadia"
CTC4648,"U4",,Pet,CTC1048,"BF Patchy",CTC4564,"DM Nadia"
CTC4649,"U6",,Pet,CTC1048,"BF Patchy",CTC4564,"DM Nadia"
CTC4650,"U8",,Pet,CTC1048,"BF Patchy",CTC4564,"DM Nadia"
CTC4651,"U5",,Pet,CTC1048,"BF Patchy",CTC4564,"DM Nadia"
CTC4652,"DM U2",,Pet,CTC1048,"BF Patchy",CTC4564,"DM Nadia"
CTC4653,"U7",,Pet,CTC1048,"BF Patchy",CTC4564,"DM Nadia"
CTC4654,"U3",,Pet,CTC1048,"BF Patchy",CTC4564,"DM Nadia"
CTC4655,"U1",,Pet,CTC1048,"BF Patchy",CTC1092,"DM Bella"
CTC4656,"U4",,Pet,CTC1048,"BF Patchy",CTC1092,"DM Bella"
CTC4657,"U2",,Pet,CTC1048,"BF Patchy",CTC1092,"DM Bella"
CTC4658,"U7",,Pet,CTC1048,"BF Patchy",CTC1092,"DM Bella"
CTC4659,"U5",,Pet,CTC1048,"BF Patchy",CTC1092,"DM Bella"
CTC4660,"U8",,Pet,CTC1048,"BF Patchy",CTC1092,"DM Bella"
CTC4661,"U6",,Pet,CTC1048,"BF Patchy",CTC1092,"DM Bella"
CTC4662,"U3",,Pet,CTC1048,"BF Patchy",CTC1092,"DM Bella"
CTC4663,"U9",,Pet,CTC1048,"BF Patchy",CTC1092,"DM Bella"
CTC4664,"U2",,Pet,CTC1054,"Kenai",CTC1088,"DM Fiona"
CTC4665,"U1",,Pet,CTC1054,"Kenai",CTC1088,"DM Fiona"
CTC4666,"U4",,Pet,CTC1054,"Kenai",CTC1088,"DM Fiona"
CTC4667,"U6",,Pet,CTC1054,"Kenai",CTC1088,"DM Fiona"
CTC4668,"U5",,Pet,CTC1054,"Kenai",CTC1088,"DM Fiona"
CTC4669,"U3",,Pet,CTC1054,"Kenai",CTC1088,"DM Fiona"
CTC4670,"U7",,Pet,CTC1054,"Kenai",CTC1088,"DM Fiona"
CTC4671,"U8",,Pet,CTC1054,"Kenai",CTC1088,"DM Fiona"
CTC4672,"U10",,Pet,CTC1054,"Kenai",CTC1088,"DM Fiona"
CTC4673,"U9",,Pet,CTC1054,"Kenai",CTC1088,"DM Fiona"
CTC506,"MM Koda",,Breeder,CTC305,"MM Gameboy",CTC300,"M&M Leila"
CTC507,"MM Maribel",,Breeder,CTC314,"MM Uros",CTC315,"RR Ciaran"
CTC508,"MM Duchess",,Breeder,CTC61,"MMM's Quattro",CTC327,"MM Unica"
CTC510,"MM Neytiri",,Booked,CTC329,"MM Parker",CTC328,"MM Winnie the Blue"
CTC511,"MM Harriet",,Breeder,CTC504,"MM Gryffin",CTC488,"MM Ursula"
CTC512,"MM Indie",,Breeder,CTC56,"NOX Spencer",CTC513,"Arianna"
CTC514,"MF Destiny",,Deceased,CTC330,"MMM's Bucket",CTC184,"MLP Tutu"
CTC516,"MM Kiara",,Breeder,CTC65,"M3 Mottley",CTC331,"Sofia"
CTC517,"MM Remy",,Deceased,CTC61,"MMM's Quattro",CTC68,"Chiara"
CTC521,"MF Simba",,Deceased,CTC340,"MF Curry",CTC129,"MF Bagel"
CTC522,"MM Violet",,Breeder,CTC14,"BF Sami",CTC523,"Allegra"
CTC525,"MM Mirage",,Breeder,CTC14,"BF Sami",CTC523,"Allegra"
CTC53,"MM Gianni",,Breeder,CTC56,"NOX Spencer",CTC57,"MM Chantilly"
CTC556,"MM Hans",,Breeder,CTC53,"MM Gianni",CTC102,"MM Daevy"
CTC559,"MF Jake",,Breeder,CTC340,"MF Curry",CTC129,"MF Bagel"
CTC560,"MF Edna",,Breeder,CTC340,"MF Curry",CTC337,"MF Almond"
CTC561,"MF Baloo",,Breeder,CTC340,"MF Curry",CTC337,"MF Almond"
CTC77,"Azzura",,Booked,CTC531,"Pino",CTC532,"Mother"