LitterID,Name,BirthDate,SireID,SireName,DamID,DamName,BornCount,OffspringIDs
CTL485,"P7",2022-02-24,CTC506,"MM Koda",CTC2398,"MM Kayetana",8,""
CTL389,"Koda x Ariel",2026-01-25,CTC506,"MM Koda",CTC1076,"Ariel",3,"CTC2702;CTC2703;CTC2704"
CTL512,"Cruella x Hans",2026-04-05,CTC556,"MM Hans",CTC346,"MM Cruella",7,"CTC4556;CTC4559;CTC4558;CTC4555;CTC4553;CTC4557;CTC4554"
CTL510,"Rama x Quasi junior",2026-04-06,CTC1046,"DM Quasimodo Junior",CTC1060,"DM Rama",10,"CTC4545;CTC4543;CTC4544;CTC4552;CTC4550;CTC4549;CTC4546;CTC4547;CTC4548;CTC4551"
CTL520,"Griselda x Eeyore",2026-04-06,CTC1050,"M3 Eeyore",CTC1095,"M3 Griselda",3,"CTC4560;CTC4562;CTC4561"
CTL534,"Bella x Patchy",2026-04-06,CTC1048,"BF Patchy",CTC1092,"DM Bella",9,"CTC4655;CTC4657;CTC4662;CTC4656;CTC4659;CTC4661;CTC4658;CTC4660;CTC4663"
CTL535,"Fiona x Kenai",2026-04-06,CTC1054,"Kenai",CTC1088,"DM Fiona",10,"CTC4665;CTC4664;CTC4669;CTC4666;CTC4668;CTC4667;CTC4670;CTC4671;CTC4673;CTC4672"
CTL516,"Indie x Hans",2026-04-07,CTC556,"MM Hans",CTC512,"MM Indie",6,"CTC4521;CTC4522;CTC4523;CTC4524;CTC4525;CTC4526"
CTL521,"Rocksy x Eeyore",2026-04-07,CTC1050,"M3 Eeyore",CTC4563,"DM Rocksy",9,"CTC4571;CTC4566;CTC4567;CTC4569;CTC4570;CTC4568;CTC4572;CTC4574;CTC4573"
CTL533,"Nadia x Patchy",2026-04-07,CTC1048,"BF Patchy",CTC4564,"DM Nadia",8,"CTC4647;CTC4652;CTC4654;CTC4648;CTC4651;CTC4649;CTC4653;CTC4650"
CTL511,"Allura x Quasimodo junior",2026-04-08,CTC1046,"DM Quasimodo Junior",CTC4495,"DM Allura",10,"CTC4533;CTC4542;CTC4537;CTC4538;CTC4541;CTC4540;CTC4534;CTC4536;CTC4539;CTC4535"